"ID"	"paper_name"	"Chinese_keyword"	"mot_literature"	"meeting_name"	"host_unit"	"publish_date"
"HYW201412030000007573"	"高分子材料在轨道交通领域中的应用研究"		"2013国际化工新材料大会论文集"	"2013国际化工新材料大会"	"中国化工学会"	"20130905"
"HYW201412030000015169"	"物联网技术在钢铁行业的应用"		"第五届钢铁行业信息化国际研讨会论文集"	"第五届钢铁行业信息化国际研讨会"	"中国钢铁工业协会"	"20111102"
"HYW201501070000004373"	"基于广电的物联网智能家居应用发展"		"NCTC·2014第十五届全国有线电视技术讨论会论文集"	"NCTC·2014第十五届全国有线电视技术讨论会"	"中国电子学会"	"20140525"
"HYW201501070000008947"	"浅析智能家居"	"智能家居%智能化住宅%家庭智能化"	"中国土木工程学会燃气分会应用专业委员会、燃气供热专业委员会2014年年会论文集"	"中国土木工程学会燃气分会应用专业委员会、燃气供热专业委员会2014年年会"	"中国土木工程学会%国家燃气用具质量监督检验中心"	"20140800"
"HYW201505130000014927"	"智慧城市云平台机理研究"	"智慧城市%地理信息系统%云平台%大数据%物联网"	"第九届中国智慧城市建设技术研讨会论文集"	"第九届中国智慧城市建设技术研讨会"	"住房和城乡建设部信息中心%国家测绘地理信息局土测绘司%国家遥感中心"	"20141103"
"HYW201609280000003000"	"新华医疗工业设计的历程与思考"		"2014(淄博)医疗、环保及其相关产业设计创新国际论坛论文集"	"2014(淄博)医疗、环保及其相关产业设计创新国际论坛"	"山东工业设计研究院"	"20141202"
"HYW201706070000000294"	"电子变压器的自动化生产技术"		"2014电源管理技术研讨会暨2014无线技术与物联网应用研讨会论文集"	"2014电源管理技术研讨会暨2014无线技术与物联网应用研讨会"	"我爱方案网%西安高新技术企业协会"	"20140918"
"HYW201706070000000343"	"因地制宜、科学设计 光伏电站解决方案研讨"		"2014电源管理技术研讨会暨2014无线技术与物联网应用研讨会论文集"	"2014电源管理技术研讨会暨2014无线技术与物联网应用研讨会"	"我爱方案网%西安高新技术企业协会"	"20140918"
"HYW201707110000005227"	"智能健康管理服务业服务模式研究"	"现代服务业%智能健康管理%医疗物联网"	"第一届中国现代服务业学术及产业创新发展国际研讨会论文集"	"第一届中国现代服务业学术及产业创新发展国际研讨会"	"科技部"	"20121116"
"HYW201711020000000400"	"数码体视显微镜立体标定方法的研究"	"数码体视显微镜%立体标定%外参校正%2D测量法"	"2015年全国工业控制计算机技术年会论文集"	"2015年全国工业控制计算机技术年会"	"中国计算机学会"	"20151100"
"HYW201712060000019273"	"高密度集成电路引线框架技术进展"		"中国电子学会电子制造与封装技术分会电镀专家委员会第十七届学术年会论文集"	"中国电子学会电子制造与封装技术分会电镀专家委员会第十七届学术年会"	"中国电子学会电镀专家委员会"	"20150822"
"HYW201802060000004459"	"RFID技术开发及在行业内的应用"		"中国化工学会橡塑产品绿色制造专业委员会成立大会暨技术论坛论文集"	"中国化工学会橡塑产品绿色制造专业委员会成立大会暨技术论坛"	"中国化工学会"	"20160500"
"HYW201805150000005192"	"设计IP&材料和装备"		"第十二届中国国际半导体博览会暨高峰论坛论文集"	"第十二届中国国际半导体博览会暨高峰论坛"	"中国半导体行业协会"	"20141000"
"HYW201805150000007856"	"生物基戊二醇的开发及其应用研究"		"2014(第六届)国际化工新材料大会论文集"	"2014(第六届)国际化工新材料大会"	"中国化工学会%中国化工信息中心"	"20141016"
"HYW201806270000014578"	"基于数据挖掘的城市交通知识库应用--路网运行知识库"	"知识库%数据挖掘%人工智能%关联分析"	"第十二届中国智能交通年会论文集"	"第十二届中国智能交通年会"	"中国智能交通协会"	"20171122"
"HYW201806270000018869"	"手卫生用品发展趋势"		"中国老年医学学会第二届中国老年医学与科技创新大会论文集"	"中国老年医学学会第二届中国老年医学与科技创新大会"	"中国老年医学学会"	"20160415"
"HYW201808210000019191"	"表面处理新技术"		"第七届中国国际表面处理新动态研讨会论文集"	"第七届中国国际表面处理新动态研讨会"	"中国表面工程协会"	"20141217"
"HYW201809110000014793"	"养殖大数据管理与食品安全"	"互联网+农业%养殖大数据%社会化综合服务体系%养殖环境%动保体系%食品安全"	"全国食品药品安全与监管博士后论坛(2015)论文集"	"全国食品药品安全与监管博士后论坛(2015)"	"国家食品药品监督管理总局人事司"	"20151200"
"HYW201903120000005798"	"汽车业融合创新中集成电路担当什么角色"		"大变革下的创新与融合""互联网+汽车+交通""高峰论坛论文集"	"大变革下的创新与融合""互联网+汽车+交通""高峰论坛"	"中国电动汽车百人会"	"20150801"
"HYW201904290000041597"	"某医疗器械车间空调系统改造介绍"	"建筑工程%空调系统%结构改造%效果评估%医疗器械车间"	"第5届全国建筑环境与设备技术交流大会论文集"	"第5届全国建筑环境与设备技术交流大会"	"中国勘察设计协会"	"20131113"
"HYW201905140000001214"	"侵犯商业秘密刑事追诉在集成电路知识产权保护中的运用"		"第十五届中国国际半导体博览会暨高峰论坛 论文集"	"第十五届中国国际半导体博览会暨高峰论坛"	"中国半导体行业协会"	"20171000"
"HYW201905140000021152"	"精强主业,多元联产,固本强基,提质增效推进企业运营发展步入更高水平"	"煤化工企业%业务结构%节能改造%运行管理"	"2015年中国氮肥、甲醇技术大会论文集"	"2015年中国氮肥、甲醇技术大会"	"中国氮肥工业协会"	"20150700"
"HYW201912170000014970"	"视频云让平安城市更安全"	"平安城市%视频云%大数据%公安信息化%天网工程"	"2019贵州社会公共安全高峰论坛论文集"	"2019贵州社会公共安全高峰论坛"	"贵州省消防协会"	"20190628"
"HYW202005130000013959"	"人工智能赋能档案事业创新成果与研究"	"人工智能%卷积神经网络%OCR%语音转写"	"2019年海峡两岸档案暨微缩学术交流会 论文集"	"2019年海峡两岸档案暨微缩学术交流会"	"中国档案学会%中国文献影象技术协会"	"20190700"
"HYW202005130000014550"	"燃气管道完整性管理应用"	"输气管道%完整性管理%高后果区风险评价%改进措施"	"中国燃气运营与安全研讨会 (第十届)暨中国土木工程学会燃气分会2019年学术年会 论文集"	"中国燃气运营与安全研讨会 (第十届)暨中国土木工程学会燃气分会2019年学术年会"	"中国土木工程学会%《煤气与热力》杂志社有限公司"	"20190828"
"HYW202005130000016066"	"大数据在燃气企业中应用的探索"	"燃气企业%大数据%数据分析"	"中国燃气运营与安全研讨会 (第十届)暨中国土木工程学会燃气分会2019年学术年会 论文集"	"中国燃气运营与安全研讨会 (第十届)暨中国土木工程学会燃气分会2019年学术年会"	"中国土木工程学会%《煤气与热力》杂志社有限公司"	"20190828"
"HYW202007170000010617"	"建筑设备智慧运维管理平台的设计与应用"	"设备运维%物业%智慧%系统集成"	"2016中国(苏州)智能建筑电气设计与技术应用论坛论文集"	"2016中国(苏州)智能建筑电气设计与技术应用论坛"	"中国建筑电气网%苏州市土木建筑学会"	"20160500"
"HYW202007170000025120"	"物联网+系统在新疆交建施工管理中的应用"		"第十三届全国工程建设行业信息化高峰论坛暨信息化成果展示交流会论文集"	"第十三届全国工程建设行业信息化高峰论坛暨信息化成果展示交流会"	"中国施工企业管理协会"	"20171130"
"HYW202008200000002828"	"工业4.0背景下发动机工厂物流规划思考及实践"	"工业4.0%物联网%物流规划%智慧物流"	"第19届亚太汽车工程年会暨2017中国汽车工程学会年会论文集"	"第19届亚太汽车工程年会暨2017中国汽车工程学会年会"	"中国汽车工程学会"	"20171024"
"HYW202008200000027781"	"人工智能跟机器人之间的关系"		"第十九届中国国际工业博览会论坛 论文集"	"第十九届中国国际工业博览会论坛"	"国家发改委%科技部%国家工业和信息化部%中科院"	"20171107"
"HYW202009100000008545"	"人脸识别技术在声像档案挖掘利用中的应用探析"	"人脸识别%声像档案%档案利用%人工智能"	"2019年全国青年档案工作者学术论坛论文集"	"2019年全国青年档案工作者学术论坛"	"中国档案学会"	"20191100"
