"机构ID"	"机构名称(中文)"	"成立日期"	"主营业务"	"经营范围"
"01000622"	"恒立实业发展集团股份有限公司"	"1993-05-08 00:00:00"	"汽车空调及零部件业务和贸易"	"　　生产、销售制冷空调设备；销售汽车（含小轿车）；加工、销售机械设备；提供制冷空调设备安装、维修及本企业生产原料和产品的运输服务；凭资质证书从事房地产经营、物业管理；自有房屋租赁；实业投资；投资管理。（国家有专项审批的项目经审批后方可进行）"
"01000623"	"吉林敖东药业集团股份有限公司"	"1993-03-20 00:00:00"	"制药业为主导产业，集养殖、种植、房地产开发、商业、机械修理、仓储、饮食服务业、运输等多业经营"	"　　种植养殖、商业（国家专项控制、专营除外）；机械修理、仓储；本企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件（国家实行核定公司经营的12种进口商品除外）进口；医药工业、医药商业、医药科研与开发；汽车租赁服务；自有房地产经营活动。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"01000625"	"重庆长安汽车股份有限公司"	"1996-10-31 00:00:00"	"制造和销售汽车(含轿车)、制造汽车发动机系列产品"	"　　许可项目：制造、销售汽车（含轿车），制造汽车发动机系列产品。汽车租赁（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：汽车（含小轿车）开发，汽车发动机系列产品的开发、销售，配套零部件、模具、工具的、开发，制造，销售，机械安装工程科技技术咨询服务，自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外），开发、生产、销售计算机软件、硬件产品，计算机应用技术咨询、培训，计算机网络系统设计、安装、维护,代办中国电信股份有限公司重庆分公司委托的电信业务，技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）"
"01000626"	"远大产业控股股份有限公司"	"1994-06-27 00:00:00"	"进出口贸易业务"	"　　实业投资，自营和代理各类商品和技术的进出口业务，国内贸易，自营房屋及场地租赁（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"01000627"	"天茂实业集团股份有限公司"	"1993-11-18 00:00:00"	"从事化工和医药原料药的生产和销售"	"　　人寿保险、健康保险、意外伤害保险等各类人身保险业务、房地产开发与经营、物业管理、代理销售保险、基金销售等。化工产品（不含危险化学品、需经审批的项目持有效许可证经营）的生产、销售；甲醇、二甲醚、丙烷、丙烯、异丁基苯、石油醚、异丁烷、甲基叔丁基醚、混合芳烃、工业用液化石油气（票面）批发；五金交电、建筑材料销售；经营本企业自产产品及技术的出口业务；经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务（国家限定公司经营和国家禁止进出口的商品及技术除外）；经营进料加工和“三来一补”业务。"
"01000628"	"成都高新发展股份有限公司"	"1992-11-01 00:00:00"	"建筑业、房地产、厨柜制造、期货经纪等业务"	"　　高新技术产品的开发、生产、经营；高新技术交流和转让；高新技术产业开发区的开发建设；国内贸易、进出口贸易；信息咨询、项目评估、证券投资；期货经纪；广告、展览、培训；物业管理（限分支机构凭资质许可证从事经营）；房屋租赁；房地产开发、商品房经营、兴建高新区内公共设施、为区内企业生产和生活提供配套服务，建筑装饰、装修（凭资质经营）；工业与民用建筑工程、土石方工程等工程建设；项目投资；项目咨询等。"
"01000629"	"攀钢集团钒钛资源股份有限公司"	"1993-03-27 00:00:00"	"钒产品、钛渣、钛白粉的生产、销售、技术研发和应用开发"	"　　钢、铁、钒、钛、焦冶炼、钢压延加工及其产品销售;金属矿、非金属矿、煤炭、设备及备件、耐火材料、冶金辅料、燃油油脂、合金与金属材料销售;冶金技术开发、咨询、服务;冶金工程、工业自动化、信息工程技术服务;建筑材料制造;综合技术及计算机开发服务;建设项目环境影响评价及其咨询服务;安全评价;环境保护监测;职业卫生技术服务."
"01000630"	"铜陵有色金属集团股份有限公司"	"1992-08-20 00:00:00"	"铜、铁、硫金矿采选，铜、金、银、稀有贵金属冶炼及压延加工，硫酸、电子产品生产、铜加工产品等。"	"　　铜、铁采选，硫铁矿、金矿采选（限铜陵有色股份天马山黄金矿业公司经营），压缩、液化气体生产，硫酸生产，生活饮用水制水、供水及热电联产蒸汽与电的生产和销售以及副产品的销售（限动力厂经营），有色金属冶炼及压延加工，金、银、稀有贵金属冶炼及压延加工，铁球团、硫酸铜、电子产品生产、加工、销售，电气机械和器材、普通机械、电缆盘制造，废旧金属回收购、加工，进出口业务，矿产品、钢材、化工产品销售，信息技术服务，有线电视服务产品销售，广告业务，固体矿产勘查（丙级），设备设施维修、安装、改造及调试，机械制作加工，铁精砂购销，危险化学品生产（限分公司经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"01000631"	"顺发恒业股份公司"	"1993-07-02 00:00:00"	"房地产领域开发与运营"	"　　房地产经营开发、物业管理、装修装饰、房屋和土木工程建设业、园林绿化工程（以上项目均凭有效资质证书经营）；不动产投资、实业投资（除金融投资、风险投资）。"
"01000632"	"福建三木集团股份有限公司"	"1992-10-24 00:00:00"	"房地产开发与经营、进出口贸易。"	"　　基础设施投资建设，土地开发，房地产综合开发（凭资质等级证书），房地产中介。建筑材料、电器机械、金属材料、化工原料、石油制品（不含汽油、煤油、柴油）；纺织品、服装。自营和代理各类商品及技术的进出口业务，但国家限定公司经营或国家禁止出口的商品及技术除外，经营进料加工和“三来一补”业务，经营对外销贸易和转口贸易。（以上经营范围涉及许可经营项目的，应在取得有关部门的许可后方可经营）。"
"01000633"	"新疆合金投资股份有限公司"	"1990-03-12 00:00:00"	"镍基合金材料的制造和销售"	"　　实业投资；国内贸易（国家有专项规定的，办理许可证后经营）；自营和代理各种商品和技术的进出口（但国家限定经营或者禁止进出口的商品和技术除外）；自有房产出租；五金交电、钢材、电子产品、纺织品、服装及辅料、建筑材料、有色金属材料、化工产品（不含危险化学品）、燃料油、机电产品、日用百货、皮革制品、玻璃制品、金属制品、塑料制品、金银饰品、珠宝玉器、装饰材料、通讯设备、仪器仪表、机械设备、计算机软硬件、汽车用品及配件销售；计算机软件开发；技术开发、技术转让、技术服务、技术咨询；网络工程设计、施工；计算机系统集成；数据处理服务；经济信息咨询。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。"
"01000635"	"宁夏英力特化工股份有限公司"	"1996-07-24 00:00:00"	"电石及其系列延伸产品的生产和销售；聚氯乙烯、烧碱及其系列延伸产品的生产和销售；特种树脂生产及销售；电力、热力的生产及销售。"	"　　电石及其系列延伸产品的生产和销售，聚氯乙烯、烧碱及其系列延伸产品的生产和销售，电力、热力的生产和销售，硅系列延伸产品的生产、经营和开发，活性炭、石灰的生产和销售，机械设备制造和维修；对外投资及贸易；餐饮、住宿服务。"
"01000636"	"广东风华高新科技股份有限公司"	"1994-03-23 00:00:00"	"系列新型片式元器件、光机电一体化电子专用设备及电子材料等电子信息基础产品的研制、生产和销售。"	"　　研究、开发、生产、销售各类型高科技新型电子元器件、集成电路、电子材料、电子专用设备仪器及计算机网络设备。高新技术转让、咨询服务。经营本企业自产机电产品。成套设备及相关技术的出口和生产、科研所需原辅材料、机械设备、仪器仪表、备品备件、零配件及技术的进口（按粤外经贸进字[1999]381号文件经营）。经营国内贸易（法律、行政法规、国务院决定禁止的，不得经营；法律、行政法规、国务院决定未规定许可的，自主选择经营项目开展经营活动）；房地产开发、经营。"
"01000637"	"茂名石化实华股份有限公司"	"1988-10-04 00:00:00"	"石油化工产品的生产及销售"	"　　许可经营项目：生产销售聚丙烯及其制品、石油化工产品、水泥、电器机械制造、铝型材、技术经济咨询服务、投资经营石油化工综合利用实业、第三产业；经营本企业自产产品及技术的出口业务；经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务（国家限定公司经营和国家禁止进出口的商品除外；不单列贸易方式）。
　　一般经营项目：无。"
"01000638"	"万方城镇投资发展股份有限公司"	"1996-11-20 00:00:00"	"与城镇化建设有关的土地一级整理、回迁安置房建设、辅以贸易等业务"	"　　城市道路以及基础设施的建设及投资;给排水及管网建设及投资;城市燃气及管网建设及投资;城市服务项目(学校、医院等)的建设及投资;城市旧城改造;城市开发建设和基础设施其他项目的建设及投资;项目投资和项目管理;医疗技术开发;数据处理和储存服务;基础软件服务、应用软件服务;计算机网络的研制、开发、设计、安装;计算机软硬件的开发及销售、技术推广、技术转让、技术咨询及技术服务;互联网信息服务;信息系统集成服务;物联网技术服务;信息技术咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。"
"01000639"	"西王食品股份有限公司"	"2011-01-31 00:00:00"	"健康食用油及运动营养和体重管理"	"　　预包装食品的批发兼零售（有效期限已许可证为准）。对食品行业投资，进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）"
"01000650"	"仁和药业股份有限公司"	"1996-12-04 00:00:00"	"生产、销售中西药及健康相关产品，包括胶囊剂、颗粒剂、片剂、栓剂、软膏剂、搽剂等药品以及健康相关产品。"	"　　中药材种植；药材种苗培植；纸箱生产、销售；计算机软件开发；设计、制作、发布、代理国内各类广告；建筑材料、机械设备、五金交电及电子产品、化工产品、金属材料、文体办公用品、百货的批发、零售；技术服务与咨询。"
"01000651"	"珠海格力电器股份有限公司"	"1989-12-13 00:00:00"	"生产销售空调器、自营空调器出口业务及其相关零配件的进出口业务"	"　　货物、技术的进出口（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营）；研发、制造、销售：泵、阀门、压缩机及类似机械，风机、包装设备等通用设备；电机、输配电及控制设备；电线、电缆、光缆及电工器材；家用制冷电器具，家用空气调节器及相关零部件；中央空调、制冷、空调设备、洁净空调、采暖设备、通风设备；热泵热水机、空调热水一体产品、燃气采暖热水炉设备、燃气供暖热水设备、热能节能设备、机电设备产品及相关零部件；新风及新风除霾设备；通讯终端设备及相关零部件；气体，液体分离及纯净设备及相关零部件；家用清洁卫生电器具、家用厨房电器具、家用通风电器具、其它家用电力器具及相关零部件；建筑机电设备安装工程、泳池水处理、中央热水工程；销售、安装及维护：中央空调、制冷、空调设备、洁净空调、采暖设备、通风设备；热泵热水机、空调热水一体产品、燃气采暖热水炉设备、燃气供暖热水设备、热能节能设备、新风及新风除霾设备。批发：机械设备、五金交电及电子产品；零售：家用电器及电子产品。电子商务：电子商务的规划和实施，提供电商平台网络开发和维护。经营电信业务及增值电信业务，信息传输、软件和信息技术服务。"
"01000652"	"天津泰达股份有限公司"	"1981-08-20 00:00:00"	"生态环保、区域开发、能源贸易、股权投资"	"　　以自有资金对建筑业、房地产业、纺织业、化学纤维制造业、批发零售业、交通运输业、仓储业、电力生产和供应业、环境和公共设施管理业、住宿和餐饮业、科学研究和技术服务业、教育业、文化、体育和娱乐业等行业投资；资产经营管理(金融资产除外)；投资咨询服务；自有房屋租赁及管理服务(以上经营范围涉及行业许可的凭许可证件，在有效期限内经营，国家有专项专营规定的按规定办理)。"
"01000655"	"山东金岭矿业股份有限公司"	"1989-06-20 01:00:00"	"铁矿石开采，铁精粉、铜精粉、钴精粉、球团矿的生产、销售及机械加工与销售。"	"　　许可范围内发电业务;铁矿开采;普通货运(以上项目有效期限以许可证为准)。铁精粉、铜精粉、钴精粉的生产、销售, 机械设备及备件制造与销售;住宿、餐饮服务;货物进出口(国家禁止或限制进出口的商品除外)(依法须经批准的项目,经相关部门批准后方可开展经营活动)。"
"01000656"	"金科地产集团股份有限公司"	"1987-03-20 00:00:00"	"房地产开发为主，新能源发电、社区综合服务、酒店经营管理、园林、门窗、装饰等相关多元化产业经营为辅"	"　　房地产开发、物业管理、机电设备安装（以上经营范围凭资质证书执业）；销售建筑、装饰材料和化工产品（不含危险化学品）、五金交电；自有房屋租赁；企业管理咨询服务，货物及技术进出口（法律、法规禁止的，不得从事经营；法律、法规限制的，取得相关许可或审批后，方可从事经营）。"
"01000657"	"中钨高新材料股份有限公司"	"1993-03-18 00:00:00"	"硬质合金生产及加工销售"	"　　硬质合金和钨、钼、钽、铌等有色金属及其深加工产品和装备的研制、开发、生产、销售及贸易业务；钢材、稀贵金属、化工产品及原料（专营除外）、矿产品、建材、五金工具、仪器仪表、电器器材、汽车配件、纺织品贸易业务；旅游项目开发；进出口贸易按[1997]琼贸企审字第C166号文经营。（一般经营项目自主经营，许可经营项目凭相关许可证或者批准文件经营）（依法须经批准的项目，经相关部门批准后方可开展经营活动。）"
"01000659"	"珠海中富实业股份有限公司"	"1985-12-18 00:00:00"	"从事碳酸饮料、热灌装饮料、饮用水和啤酒包装用PET瓶、PET瓶胚、标签、外包装薄膜、胶罐、纸杯的生产与销售,并同时为企业提供饮用水、热灌装饮料代加工灌装服务。"	"　　制造饮料容器、瓶胚、胶罐；批发零售塑料制品、化工原料；制造销售PET高级饮料瓶、标签、纸杯、纸箱和非织布等。"
"01000661"	"长春高新技术产业(集团)股份有限公司"	"1993-06-10 00:00:00"	"以生物制药、中成药生产及销售、房地产开发为主导产业,辅以开发区基础设施建设、物业管理等。"	"　　高新技术产品的开发、生产、销售及服务基础设施的开发建设；物业管理；高新成果转让及中介服务；商业供销业(国家有专项限制经营的商品除外)；餐饮、娱乐、旅馆(办时需许可)；培训；新药开发、技术转让、咨询服务；集中供热；产业投资(医药产业)(以上各项仅限公司、子公司持证经营)。绿化景观工程设计施工及维护、企业营销策划、广告策划、社会经济信息咨询房地产中介服务、房屋销售代理(仅限分支机构持证经营；应经专项审批的项自未获得批准之前不得经营。"
"01000662"	"天夏智慧城市科技股份有限公司"	"1996-09-18 00:00:00"	"软件产品销售、系统集成建设与运营服务"	"　　互联网技术开发与服务;计算机软件开发与服务;计算机网络安装;计算机系统集成;网络技术开发;技术开发、技术服务、技术咨询,成果转让;计算机软、硬件及辅助设备的销售;经营房产测绘;设计、制作、发布国内广告;对精细化工产业、化妆品制造业、化学药品原药制造业、化学药品制剂制造业、中药材及中成药加工业的投资;自营和代理各类商品及技术的进出口业务,但国家限定公司经营或禁止进出口的商品及技术除外;经营进料加工和“三来一补”业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动。)"
"01000663"	"福建省永安林业(集团)股份有限公司"	"1994-01-06 00:00:00"	"木(竹)材采运、加工，林产化工产品制造。"	"　　木材、竹材采运；木材加工；竹制品制造；人造板制造；家具制造；林业、农业生产技术服务；家具、建筑材料批发、零售；林木育苗；园艺作物种植；对外贸易；机械设备租赁；房屋租赁。"
"01000665"	"湖北省广播电视信息网络股份有限公司"	"1988-12-10 00:00:00"	"有线电视网络运营"	"　　有线数字电视产业的投资及运营管理；有线数字电视技术的开发及应用；有线数字电视相关产品的研发、生产和销售；设计、制作、代理发布国内各类广告；影视剧、动画片、影视广告、影视专题片的策划、制作；网络工程设计、安装、调试及维修；有线电视系统设计、安装、有线电视技术咨询服务；基于电信的宽带互联网接入服务，有线电视网的互联网接入业务、互联网数据传送增值业务、国内IP电话业务；电子政务、平安城市、数字城市、智慧城市（乡村）建设、社会管理创新平台建设及运营服务；数据处理和存储技术、物联网技术、信息系统集成技术开发与服务以及软件开发与服务；通讯器材、移动及固定电话网络终端的生产、研发、销售，代办电信业务等；家用电器、预包装食品、日用百货的批发零售与网上经营；电子商务、电视商城的建设与运营；物业管理；大型活动的组织服务；会议会展服务；电视购彩；企业营销策划，信息咨询（国家专项规定项目除外）；产业投资；对金融、工农商、服务行业的项目投资及管理；受托资产管理；投资咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"01000666"	"经纬纺织机械股份有限公司"	"1995-08-15 00:00:00"	"生产与销售纺织机械业务及金融信托业务"	"　　许可经营项目：生产纺织机械、其他机电产品、办公自动化设备及其专用配件和器件（涉及特殊规定的产品应另行报批）。一般经营项目：开发纺织机械、其他机电产品、办公自动化设备及其专用配件和器件（涉及特殊规定的产品应另行报批），开发计算机应用软件，在国内外销售本公司生产的产品；开展与本公司产品相关的技术、经济信息咨询服务（中介除外）；批发（不含进口）棉花及副产品、纺织品、棉籽及短绒。"
"01000667"	"美好置业集团股份有限公司"	"1989-03-11 00:00:00"	"房地产开发、装配式建筑、现代农业等相关业务"	"　　资产管理、股权、产权的投资转让,投资策划咨询服务、实业投资;房地产业、科研信息咨询服务业及市场建设的开发投资和经营管理,房地产开发、经营;房屋租赁(凭许可证开展经营活动)。"
"01000668"	"荣丰控股集团股份有限公司"	"1988-09-02 01:00:00"	"房地产开发与销售、物业出租"	"　　房地产开发经营、商品房销售、租赁；物业管理；建筑装修；园林绿化；实业投资；投资管理（国家有专项审批的项目经审批后方可经营）"
"01000669"	"金鸿控股集团股份有限公司"	"1985-02-11 00:00:00"	"天然气长输管道及城市燃气管网的建设和运营"	"　　能源开发利用；资产经营管理、投资咨询、技术开发与咨询服务、国内批发与零售贸易；高新技术推广服务和高科技产品产业化投资合作业务；计算机软件及硬件生产（凭环保证经营）、销售；日用百货、化工产品（不含化学危险品及易制毒化学品）、建筑材料（木材除外）购销；电化学环保产品、网络及软件开发、生产、销售和服务；电子产品、光电子产品生产、销售；建筑材料（木材除外）、金属材料、机电产品（小轿车除外）批发零售；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外；企业自有资金对外投资；公司自有房产、设备对外租赁。"
"01000670"	"盈方微电子股份有限公司"	"1989-05-01 01:00:00"	"面向移动互联终端、智能家居、视频监控、运动相机等应用的智能处理器及相关软件研发、设计、销售，并提供硬件设计和软件应用的整体解决方案。"	"　　集成电路芯片、电子产品及计算机软硬件(除计算机信息系统安全专用产品)的研发、设计和销售；数据收集、分析与数据服务；数据管理软件产品以及数据管理整体解决方案的研发、销售；计算机技术领域内的技术开发、技术咨询、技术转让、技术服务；投资公司、从事实业投资活动(不含关系国家安全和生态安全、涉及全国重大生产力布局战略性资源开发和重大公共利益等项目外)；自营和代理各类商品和技术的进出口业务(国家限制或禁止的商品和技术除外)。"
"01000671"	"阳光城集团股份有限公司"	"1991-08-12 01:00:00"	"房地产开发、商品贸易。"	"　　对外贸易（不含国家禁止、限制的商品和技术）；电力生产，代购代销电力产品和设备；电子通信技术开发，生物技术产品开发，农业及综合技术开发；基础设施开发、房地产开发；家用电器及电子产品，机械电子设备、五金交电、建筑材料，百货，针纺织品、化工产品（不含危险化学品及易制毒化学品）、重油（不含成品油）、润滑油、燃料油（不含成品油）、金属材料的批发、零售；化肥的销售；对医疗健康行业的投资及投资管理；批发兼零售预包装食品；企业管理咨询服务。"
"01000672"	"甘肃上峰水泥股份有限公司"	"1993-11-01 00:00:00"	"水泥产品生产与销售，建材产品"	"　　建筑材料、五金交电（不含进口摄录像机）、金属材料（不含贵金属）、化工产品（不含危险品）；普通机械、汽车配件、日用百货、服装鞋帽、针纺织品、办公用品、装潢材料、劳保用品、钟表眼镜、黄金首饰、文体用品、电脑耗材、通讯器材、家俱设计、制作、发布代理国内外各类广告业务，工艺美术品，计算机及其辅助设备（涉及安全信息产品除外），场地租赁，冬季供暖。"
"01000673"	"当代东方投资股份有限公司"	"1997-01-17 00:00:00"	"影视文化业"	"　　矿业投资;房地产投资、经营、开发;物流业投资;文化艺术策划、展览;组织文化艺术交流活动;广告策划、代理、制作、发布;影视设备租赁;计算机数据开发、管理;文化传播项目投资、管理;文教用品、日用品、珠宝首饰、电子设备批发零售;多媒体技术开发与投资;物业管理;企业形象策划;会议展览服务(国家法律、法规禁止经营的除外);广播电视节目制作。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。"
"01000676"	"智度科技股份有限公司"	"1996-12-16 00:00:00"	"互联网相关业务"	"　　从事网络科技、计算机科技领域内的技术开发、技术咨询、技术服务、技术转让；基础软件、应用软件服务（不含医用软件）及自助研发产品销售；网络游戏开发、运营与维护；数码产品、机电产品、日用百货、计算机、软件及辅助设备的批发与零售；互联网信息服务；电信业务（第二类增值电信业务中的信息服务业务，仅限互联网信息服务）；设计、制作、代理、发布广告；互联网文化活动；文艺创作及表演；会务服务；企业形象策划；市场营销策划；商务咨询；自营和代理技术的进出口业务（国家限定公司经营或禁止进出口的商品及技术除外）；投资与资产管理；投资咨询；经济贸易咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。"
"01000677"	"恒天海龙股份有限公司"	"1989-07-21 01:00:00"	"粘胶纤维及帘帆布的生产与销售"	"　　许可证范围内普通货运（有效期限以许可证为准）；化纤用浆粕、粘胶纤维、空心砖、纱、布、面料的生产（不含印染）、销售；备案进出口业务；浆粕的来料加工；纺织技术的开发、研究、服务、咨询、转让。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
　　"
"01000678"	"襄阳汽车轴承股份有限公司"	"1993-05-06 00:00:00"	"从事轴承及其零部件的生产、科研、销售及相关业务"	"　　货物进出口、技术进出口（国家禁止或限制进出口的货物和技术除外）；制造销售轴承及零部件、汽车零部件、机电设备、轴承设备及备件、模具磨料、油石砂轮；承揽机械工业基础设计、轴承工程设计、设备安装及维修；电器修理；设备安装及装饰装璜业务；技术咨询、技术转让；劳务服务。批零兼营汽车（不含九座及以下品牌乘用车）、金属材料、化工原料及产品（不含化学危险品）、电器电料、办公用品、五金交电、百货、服装加工业。"
"01000679"	"大连友谊(集团)股份有限公司"	"1992-07-28 00:00:00"	"以零售业、酒店业、房地产业为主，其它策略性投资为补充"	"　　房地产开发及销售、商品零售、酒店、对船供应、进出口贸易、仓储、免税商品(限分支机构)、农副产品收购(限分支机构)、客房写字间出租、企业管理服务、广告业务等。"
"01000680"	"山推工程机械股份有限公司"	"1993-10-08 00:00:00"	"工程机械制造"	"　　建筑工程机械、矿山机械、农田基本建设机械、收获机械及配件的研究、开发、制造、销售、租赁、维修及技术咨询服务。"
"01000681"	"视觉(中国)文化发展股份有限公司"	"1994-05-28 00:00:00"	"提供优质正版图片、视频等视觉内容及增值服务"	"　　广播电视传输技术，互联网络传播、互联网络游戏及娱乐娱乐技术，移动通讯网络游戏及娱乐的技术，广播影视娱乐的技术，视频制作、电子传输技术等文化及娱乐产品技术的开发、咨询、服务于转让；媒体资产管理软件及其他计算机软件的开发、咨询、服务与转让；计算机图文设计、制作服务（不含印刷和广告）；摄影、扩印服务；组织文化艺术交流活动（不含演出）；企业管理，企业创业投资咨询服务，企业形象策划，市场营销策划，财务咨询；版权代理；物业管理；自有房屋租赁；设计、制作、代理、发布广告。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"01000682"	"东方电子股份有限公司"	"1994-02-09 00:00:00"	"电子及通信设备开发、生产、销售及咨询服务。"	"　　电力自动化及工业自动化控制系统、电子产品及通信设备（不含无线电发射器材）、轨道交通机电设备及自动化系统、风电场自动化及管理系统、电气机械及器材、计算机系统及软件、仪器仪表、电力电子设备、变压器、互感器、电抗器、输配电及控制设备、高低压成套开关柜及元器件、环网柜、柱上开关、箱式变电站、特种变压器及辅助设备、零部件、电蓄热设备的设计开发、制造、销售、系统集成及运营维护；智慧城市、智能交通系统、建筑智能化系统、安防监控、电子与智能化工程建筑节能工程设计、开发、生产、系统集成与施工；机器人及无人机系统、防坠落装置、新能源汽车充换电设备及相关软件的研发、设计、生产、销售、安装、运营维护和技术咨询；光伏发电系统和空调系统的设计、开发、生产、建设、维护及技术咨询；电力工程施工及运营服务；房屋及自有设备的租赁、购电、售电、电力供应；区域能源系统及管理；进出口业务及对外经济技术合作业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。"
"01000683"	"内蒙古远兴能源股份有限公司"	"1997-01-23 00:00:00"	"甲醇、煤炭的生产与销售。"	"　　化工产品及其原料的生产、销售；经销化工机械设备及配件，出口本企业生产的化工产品；进口本企业生产、科研所需的原辅材料、机械设备、仪器仪表及零配件。"
"01000685"	"中山公用事业集团股份有限公司"	"1992-12-26 00:00:00"	"生产供应自来水、污水处理和农贸农批市场经营、物业开发"	"　　公用事业的投资及管理，市场的经营及管理，投资及投资策划、咨询和管理等业务。"
"01000686"	"东北证券股份有限公司"	"1992-07-17 00:00:00"	"证券经纪业务、证券承销与保荐业务、证券自营业务和证券资产管理业务等。"	"　　证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；融资融券；证券投资基金代销；代销金融产品业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"01000687"	"华讯方舟股份有限公司"	"1997-02-01 00:00:00"	"军事通信及配套业务"	"　　电气设备、光电机械设备、气象专用仪器、电子产品的研发、生产、销售；软件产品研发、销售及维护服务；卫星通信技术、网络技术的技术研发；货物和技术的进出口业务；信息系统集成服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"01000688"	"国城矿业股份有限公司"	"1978-11-10 00:00:00"	"有色金属采、选及贸易"	"　　电子计算机及网络服务器、微晶玻璃板材、节能灯及电子镇流器的制造、销售；计算机信息系统集成、软件开发销售；数码电子产品研发、制造和销售；电子商务及网络应用服务；数字广播电视服务；经营本企业生产、科研所需的原辅材料，机械设备，仪器仪表，零配件的进口业务及相关技术服务；轻工业品的出口业务；有色金属矿产品贸易；贵稀金属的国内贸易（仅限黄金、白银制品的国内销售）；货物及技术进出口业务（国家限定限定公司经营或禁止进出口的商品及技术除外）；以下经营范围中法律法规规定应经审批的，获得审批后方可经营：水力发供电、市政基础设施建设；有色金属、黑色金属矿山开发（仅限取得许可的下属子公司经营）；有色金属冶炼。"
"01000690"	"广东宝丽华新能源股份有限公司"	"1997-01-20 00:00:00"	"电力、建筑施工、投资等"	"　　洁净煤燃烧技术发电和可再生能源发电，新能源电力生产、销售、开发（凭资质证书经营），新能源电力生产技术咨询、服务。房屋建筑、公路、桥梁、市政等基础设施工程的设计、承揽与施工（凭资质证书经营），新能源产业投资，对外直接股权投资、创业投资、受托投资、受托管理投资、投资咨询、财务咨询；企业信用信息采集、整理、咨询服务；企业信誉评估服务、企业资质服务；租赁业。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"01000691"	"海南亚太实业发展股份有限公司"	"1988-02-12 00:00:00"	"房地产开发与销售"	"　　旅游业开发,高科技开发,日用百货、纺织品销售,建材、旅游工艺品、普通机械的批发、零售、代购代销、技术服务;农业种植;水产品销售(食品除外);农副畜产品销售;农牧业的技术服务、咨询。(一般经营项目自主经营,许可经营项目凭相关许可证或者批准文件经营)(依法须经批准的项目,经相关部门批准后方可开展经营活动。)的项目凭许可证经营)。"
"01000692"	"沈阳惠天热电股份有限公司"	"1993-12-28 00:00:00"	"民用和工业用供热和供汽"	"　　供暖,设备安装,工业管道、土建工程施工,非标准结构件制造、安装,硫酸铵(销售给指定单位),水暖材料零售,供暖设施租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动。)"
"01000695"	"天津滨海能源发展股份有限公司"	"1992-10-20 00:00:00"	"蒸汽、电力的生产、供应和印刷业务"	"　　生产、销售热力、电力、发电、燃气、自来水及上述系统设备及零配件；上述系统的工程维修服务及其技术咨询服务。自有房屋租赁、机械设备租赁、利用灰渣制作灰砖。企业管理服务、为企业提供劳务服务。包装装潢印刷品；广播电视节目制作；电影摄制、发行；演出经营；广告发布；文化经纪代理；版权、剧本、艺术品销售；教育信息咨询、教学设备、教学软件的研发和销售；互联网信息服务；电子出版物及音像制品制作、复制、发行；展览展示；艺术品鉴定、评估、拍卖；艺术品销售。"
