"机构名称(中文)"	"机构ID"	"ID"	"years"	"Chinese_title"
"广州杰赛科技股份有限公司"	"T000026694"	"QKC20192019071000084177"	"2019"	"云资源池规划建设与运维管理研究"
"中国外运股份有限公司"	"00067474"	"QKC20192019071000116829"	"2019"	"计算机物联网技术在物流领域中的应用与创新分析"
"杭州安恒信息技术股份有限公司"	"T001301651"	"QKC20192019071000121747"	"2019"	"大数据时代计算机信息安全防范措施"
"中远海运发展股份有限公司"	"03133744"	"QKC20192019071600012298"	"2019"	"大数据时代背景下促进企业集团财务集中管理几点思考"
"中国中材国际工程股份有限公司"	"03131067"	"QKC20192019071600029305"	"2019"	"水泥产业智能制造相关技术探讨"
"杭萧钢构股份有限公司"	"03130503"	"QKC20192019071600031213"	"2019"	"装配式钢结构绿色集成建筑产业化与市场化"
"安徽皖通科技股份有限公司"	"T000026217"	"QKC20192019071600055593"	"2019"	"基于边缘智能的大路网协同运营服务平台"
"中国软件与技术服务股份有限公司"	"03130108"	"QKC20192019071600062652"	"2019"	"OA办公系统为国家税收提供优质平台"
"金花企业(集团)股份有限公司"	"02600080"	"QKC20192019071600070160"	"2019"	"供应链信息化整合对企业内控管理的影响"
"成都秦川物联网科技股份有限公司"	"Q001649BF8"	"QKC20192019071600071100"	"2019"	"膜式燃气表传动系统和计数显示系统技术研究"
"长城证券股份有限公司"	"00064581"	"QKC20192019071600098760"	"2019"	"人工智能背景下证券公司财务管理转型研究"
"中信银行股份有限公司"	"03133579"	"QKC20192019071600109627"	"2019"	"基于大数据视角下商业银行内部审计人员履职能力研究"
"广东水电二局股份有限公司"	"03131941"	"QKC20192019071600110112"	"2019"	"一种基于狭窄场地临时建筑的绿色施工技术"
"长飞光纤光缆股份有限公司"	"T000161964"	"QKC20192019071600112569"	"2019"	"长飞公司2016年智能制造新模式应用项目顺利通过验收"
"思创医惠科技股份有限公司"	"T000027215"	"QKC20192019071600127198"	"2019"	"如何克服""信息孤岛""实现零售数字化终极目标"
"创业慧康科技股份有限公司"	"00087886"	"QKC20192019072400000074"	"2019"	"人工智能在医疗领域的应用与发展"
"江苏蓝丰生物化工股份有限公司"	"T000029033"	"QKC20192019072400005004"	"2019"	"农药制剂生产的创新驱动与人工智能的融入"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019072400015841"	"2019"	"物联网在智慧林业建设中应用"
"三维通信股份有限公司"	"03133283"	"QKC20192019072400019273"	"2019"	"LoRa技术在住院病人体温持续监测中的应用"
"山东山大华特科技股份有限公司"	"01000915"	"QKC20192019072400118872"	"2019"	"大数据背景下财务会计向管理会计转型的分析与研究"
"岳阳林纸股份有限公司"	"03130723"	"QKC20192019073100003795"	"2019"	"彩色喷墨数码印刷纸技术研究"
"深圳市沃尔核材股份有限公司"	"03133570"	"QKC20192019073100010317"	"2019"	"MES在热缩材料生产中的应用"
"中达安股份有限公司"	"T000271247"	"QKC20192019073100034114"	"2019"	"光纤传感技术在物联网中的应用探讨"
"安徽省交通规划设计研究总院股份有限公司"	"T000348011"	"QKC20192019073100044260"	"2019"	"高速公路PTN系统业务传输规划浅析"
"中航飞机股份有限公司"	"01000768"	"QKC20192019073100089975"	"2019"	"单曲度化铣蒙皮数字化精确制造技术"
"航天信息股份有限公司"	"03130421"	"QKC20192019081400009296"	"2019"	"RFID技术的多天线及其馈电网络的监控系统设计"
"惠州亿纬锂能股份有限公司"	"T000025733"	"QKC20192019081400016339"	"2019"	"高功率、高可靠性、长寿命脉冲电源"
"陕西省天然气股份有限公司"	"00076771"	"QKC20192019081400026132"	"2019"	"基于物联网技术的场站周界安防系统应用研究"
"科大讯飞股份有限公司"	"03134688"	"QKC20192019081400040145"	"2019"	"人工智能在教育考试评测中的应用探索"
"天津凯发电气股份有限公司"	"T000058785"	"QKC20192019081400050533"	"2019"	"电气化铁路的谐波抑制方法分析"
"江苏天瑞仪器股份有限公司"	"T000032800"	"QKC20192019081400052404"	"2019"	"气质联用法测定柴油中间馏分组成"
"京东方科技集团股份有限公司"	"01002725"	"QKC20192019081400071896"	"2019"	"京东方在医疗AI应用的探索与实践"
"佛山市金银河智能装备股份有限公司"	"T000179183"	"QKC20192019081400073357"	"2019"	"大数据下财务管理的挑战与创新思维"
"中贝通信集团股份有限公司"	"T004581661"	"QKC20192019081400082470"	"2019"	"基于光纤通信技术在物联网上的应用研究"
"宜通世纪科技股份有限公司"	"T000056285"	"QKC20192019081400087856"	"2019"	"基于移动通讯大数据的城市人口空间分布统计"
"宜通世纪科技股份有限公司"	"T000056285"	"QKC20192019081400090314"	"2019"	"5G移动通信技术下的物联网时代"
"贵州省广播电视信息网络股份有限公司"	"T000122551"	"QKC20192019081400108594"	"2019"	"立足实际求突破 勇于创新促发展-贵广网络""智慧广电""建设取得新成效"
"浙江菲达环保科技股份有限公司"	"03130147"	"QKC20192019081400128513"	"2019"	"PCA的多污染物脱除性能研究"
"兖州煤业股份有限公司"	"02600188"	"QKC20192019082200009592"	"2019"	"财务共享模式下企业集团内部审计浅析"
"中芯国际集成电路制造有限公司"	"T000001188"	"QKC20192019082200012662"	"2019"	"功率NLDMOS电学安全工作区的版图设计优化"
"珠海格力电器股份有限公司"	"01000651"	"QKC20192019082200043897"	"2019"	"基于深度学习的语音识别技术研究及其在空调上的应用"
"杭州联科生物技术股份有限公司"	"T000193088"	"QKC20192019082200052782"	"2019"	"大数据时代企业人力资源管理变革分析"
"深圳市优博讯科技股份有限公司"	"T000125447"	"QKC20192019082200057039"	"2019"	"大数据背景下企业财务管理面临挑战"
"广东水电二局股份有限公司"	"03131941"	"QKC20192019082200076410"	"2019"	"水电站水轮发电机组的常见故障与处理技术分析"
"四川长虹电器股份有限公司"	"02600839"	"QKC20192019082200092768"	"2019"	"家用电视机产品全过程质量控制方法研究"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019082200110282"	"2019"	"浅谈智慧监狱建设中安防智能化的应用与趋势"
"佳都新太科技股份有限公司"	"02600728"	"QKC20192019082200113944"	"2019"	"大数据在智慧城市建设中的深度应用"
"深圳广田集团股份有限公司"	"T000028341"	"QKC20192019082800018002"	"2019"	"基于BIM技术的建筑节能设计应用研究"
"贵州省交通规划勘察设计研究院股份有限公司"	"T000281791"	"QKC20192019082800033968"	"2019"	"山区高速公路路线设计与环境保护研究"
"许继电气股份有限公司"	"01000400"	"QKC20192019082800047116"	"2019"	"大数据技术在继电保护领域的应用"
"广东宏大爆破股份有限公司"	"T000007613"	"QKC20192019082800056113"	"2019"	"大数据下企业加强会计信息化风险管控的对策建议"
"中国中车股份有限公司"	"00076917"	"QKC20192019082800080406"	"2019"	"智能车间关键零部件生产运行管理思路-以动车组制造企业为例"
"远光软件股份有限公司"	"03131965"	"QKC20192019082800100796"	"2019"	"智慧共享,引领企业财务数字化转型-集团企业财务共享信息化创新实践"
"宜通世纪科技股份有限公司"	"T000056285"	"QKC20192019090400016188"	"2019"	"大数据技术在移动通信网络优化中的运用分析"
"内蒙古蒙草生态环境(集团)股份有限公司"	"T000058651"	"QKC20192019090400046499"	"2019"	"蒙草""种质资源+大数据""体系精准治理荒漠化"
"福建漳州发展股份有限公司"	"01000753"	"QKC20192019090400059074"	"2019"	"大数据时代企业人力资源管理变革的思考"
"中国铁路通信信号股份有限公司"	"T000076136"	"QKC20192019091600005782"	"2019"	"大数据背景下企业成本管控的对策分析"
"人福医药集团股份公司"	"02600079"	"QKC20192019091600027347"	"2019"	"医院医疗器械院内物流SPD系统的构建"
"深圳市天威视讯股份有限公司"	"03134722"	"QKC20192019091600043332"	"2019"	"大数据、云会计下的企业全面预算管理研究"
"常州天晟新材料股份有限公司"	"T000032775"	"QKC20192019091600052301"	"2019"	"大数据时代下互联网企业危机管理研究"
"洛阳北方玻璃技术股份有限公司"	"T000027218"	"QKC20192019091600060086"	"2019"	"机械设计""绿色设计""理念探析"
"洛阳栾川钼业集团股份有限公司"	"T000000933"	"QKC20192019091600080829"	"2019"	"绿色发展扮靓中国钼都"
"河南省交通规划设计研究院股份有限公司"	"T000270353"	"QKC20192019091600125801"	"2019"	"基于大数据的企业全面预算管理的构建"
"广州海格通信集团股份有限公司"	"T000027805"	"QKC20192019091600181544"	"2019"	"谐波控制在射频功率放大器设计中的应用"
"武汉华中数控股份有限公司"	"T000032777"	"QKC20192019091600220297"	"2019"	"华中数控"
"昆明龙津药业股份有限公司"	"T000058718"	"QKC20192019091600234456"	"2019"	"审计跟踪在制药企业ERP系统中的创新性实践"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019091800005803"	"2019"	"大数据对通信企业财务管理的影响和应对"
"新华网股份有限公司"	"T000035461"	"QKC20192019091800021969"	"2019"	"""抓内容、重服务、强互动""分析政务类微信公号运营之道-以""共青团中央""等3个微信公众号为例"
"天水华天科技股份有限公司"	"03134173"	"QKC20192019091800022507"	"2019"	"切筋工序产品裂纹问题研究及其改善措施"
"紫光国芯微电子股份有限公司"	"03131126"	"QKC20192019091800047520"	"2019"	"5G超级SIM卡超大容量金融级安全"
"株洲冶炼集团股份有限公司"	"03130835"	"QKC20192019091800085930"	"2019"	"纳米ITO粉体的团聚与分散分析"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019091800106079"	"2019"	"云存储在城市轨道交通的应用"
"福建龙净环保股份有限公司"	"03129946"	"QKC20192019091800110216"	"2019"	"基于RBF神经网络的循环灰利用率软测量技术分析"
"新乡化纤股份有限公司"	"01000949"	"QKC20192019092500003719"	"2019"	"浅析机电一体化技术在工业生产中的应用"
"卧龙电气驱动集团股份有限公司"	"03130123"	"QKC20192019092500009457"	"2019"	"汽车电机智能制造综合标准化与新模式探索"
"山西焦化股份有限公司"	"02600740"	"QKC20192019092500039219"	"2019"	"焦化行业水污染防治现状及优化措施"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019092500055757"	"2019"	"大华股份与浙江移动签署5G战略合作协议"
"广州航新航空科技股份有限公司"	"T000061148"	"QKC20192019092500060694"	"2019"	"Linux与Android系统有线同屏技术的实现研究"
"广州万孚生物技术股份有限公司"	"T000117220"	"QKC20192019092500079649"	"2019"	"人工智能创作物著作权问题的思考"
"北京银行股份有限公司"	"03133989"	"QKC20192019092500080855"	"2019"	"大数据时代商业银行全面风险管理的探索与创新"
"株洲千金药业股份有限公司"	"03130652"	"QKC20192019101200005498"	"2019"	"论如何做好高新技术企业财务战略管理"
"广联达科技股份有限公司"	"T000026577"	"QKC20192019101200033895"	"2019"	"建筑企业数字化转型的三个维度与两项工作"
"清源科技(厦门)股份有限公司"	"T000070224"	"QKC20192019101200043319"	"2019"	"制造企业强化财务分析的相关探讨"
"北京东方园林环境股份有限公司"	"T000026089"	"QKC20192019101200051368"	"2019"	"人工智能时代财务会计向管理会计的转型策略探讨"
"许继电气股份有限公司"	"01000400"	"QKC20192019101200072018"	"2019"	"基于人工智能在电气工程自动化中的运用分析"
"江西正邦科技股份有限公司"	"03133881"	"QKC20192019101200072048"	"2019"	"一种基于大数据的种猪选育工艺研究"
"东软集团股份有限公司"	"02600718"	"QKC20192019101200081166"	"2019"	"中国的数字经济未来将处于全球领先地位"
"中远海运科技股份有限公司"	"T000026611"	"QKC20192019101600032373"	"2019"	"智慧公交大脑建设探析"
"国电南瑞科技股份有限公司"	"03130492"	"QKC20192019101600033523"	"2019"	"同步调相机启动及控制策略在工程中的应用"
"聚辰半导体股份有限公司"	"Q00441876B"	"QKC20192019101600049024"	"2019"	"智能卡芯片中ESD的设计"
"上海贝岭股份有限公司"	"02600171"	"QKC20192019101600053236"	"2019"	"基于BL0939的天线效应分析"
"成都秦川物联网科技股份有限公司"	"Q001649BF8"	"QKC20192019101600071121"	"2019"	"热式质量燃气表发展研究"
"内蒙古包钢钢联股份有限公司"	"03129981"	"QKC20192019101600076120"	"2019"	"浅谈大数据视角下实施财务共享服务探析"
"博通集成电路(上海)股份有限公司"	"T002972287"	"QKC20192019101600077516"	"2019"	"博通集成电路助力ETC产业前行"
"深圳市赛为智能股份有限公司"	"T000026212"	"QKC20192019101600081597"	"2019"	"浅谈边缘计算的应用"
"深圳市今天国际物流技术股份有限公司"	"T000055991"	"QKC20192019101600104788"	"2019"	"汽车制造业物流新技术的应用探索"
"深圳市赛为智能股份有限公司"	"T000026212"	"QKC20192019101600105117"	"2019"	"边缘计算在5G时代的价值研究"
"深圳达实智能股份有限公司"	"T000026683"	"QKC20192019101600112219"	"2019"	"中央空调节能技术分析与探讨"
"江苏省广电有线信息网络股份有限公司"	"T000062808"	"QKC20192019101600114154"	"2019"	"基于流式计算的广电实时大数据可视化平台"
"杭州格林达电子材料股份有限公司"	"T003023321"	"QKC20192019101600126156"	"2019"	"双氧水系铜刻蚀液各向异性刻蚀机理和方法研究进展"
"高新兴科技集团股份有限公司"	"T000026751"	"QKC20192019102300004890"	"2019"	"AI成就智慧城市"
"佳都新太科技股份有限公司"	"02600728"	"QKC20192019102300012329"	"2019"	"AI在智慧城市建设中的新应用"
"苏州科达科技股份有限公司"	"T000124546"	"QKC20192019102300016650"	"2019"	"交通OD大数据研究"
"高新兴科技集团股份有限公司"	"T000026751"	"QKC20192019102300019965"	"2019"	"基于AR与物联网融合技术在智能交通领域的应用"
"浙江交通科技股份有限公司"	"03131956"	"QKC20192019102300052405"	"2019"	"化学工程工艺中绿色化工技术的实践应用研究"
"绿色动力环保集团股份有限公司"	"T000132131"	"QKC20192019102300097738"	"2019"	"生活垃圾焚烧发电项目环境监理要点研究"
"烟台龙源电力技术股份有限公司"	"T000027158"	"QKC20192019102300101941"	"2019"	"关于富氧微油点火技术应用研究"
"四川长虹电器股份有限公司"	"02600839"	"QKC20192019103000013828"	"2019"	"供应商远程品质管理"
"安徽新华传媒股份有限公司"	"T000026246"	"QKC20192019103000014618"	"2019"	"业财融合对企业财务管理方式的影响"
"北京真视通科技股份有限公司"	"T000070025"	"QKC20192019103000037280"	"2019"	"基于视频图像数据交换与共享平台的研发总结"
"山推工程机械股份有限公司"	"01000680"	"QKC20192019103000042011"	"2019"	"论大数据时代下企业的财务管理转型"
"重庆小康工业集团股份有限公司"	"T000071215"	"QKC20192019103000044115"	"2019"	"发动机总装智能工厂的研究与应用"
"华自科技股份有限公司"	"T000125453"	"QKC20192019103000072259"	"2019"	"泵站信息管理平台的智能化建设"
"紫金矿业集团股份有限公司"	"03134633"	"QKC20192019103000086563"	"2019"	"紫金山金铜矿智慧矿山建设实践"
"深圳迈瑞生物医疗电子股份有限公司"	"T000138376"	"QKC20192019103000088176"	"2019"	"李西廷:迈瑞要为中国制造正名"
"万华化学集团股份有限公司"	"03129949"	"QKC20192019110700001050"	"2019"	"分析化工安全技术与环境保护"
"江苏辉丰生物农业股份有限公司"	"T000027782"	"QKC20192019110700006456"	"2019"	"探析加强化工企业安全生产和环境保护意识的措施"
"万达信息股份有限公司"	"T000029069"	"QKC20192019111300028744"	"2019"	"基于物联网技术的智能建筑"
"光一科技股份有限公司"	"T000058696"	"QKC20192019111300029327"	"2019"	"基于NB-IoT和LoRa相互协作的窨井盖检测系统"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019111300029889"	"2019"	"关于无线定位技术在智慧城市建设中的应用思考"
"紫金矿业集团股份有限公司"	"03134633"	"QKC20192019111300030636"	"2019"	"试论企业财务信息化建设"
"北京易华录信息技术股份有限公司"	"T000042989"	"QKC20192019111300031274"	"2019"	"智慧交通大数据应用及相关问题研究"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019111300031881"	"2019"	"100G PON的发展前景探讨"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019111300032348"	"2019"	"智慧通信在智慧城市中的应用"
"中设设计集团股份有限公司"	"T000058810"	"QKC20192019111300036837"	"2019"	"探讨船舶生活污水处理技术及其发展趋势"
"京东方科技集团股份有限公司"	"01002725"	"QKC20192019111300038780"	"2019"	"大数据环境下的供应链风险管控"
"中设设计集团股份有限公司"	"T000058810"	"QKC20192019111300040528"	"2019"	"海洋石油污染微生物修复研究进展"
"广东南方新媒体股份有限公司"	"T001929984"	"QKC20192019111900020373"	"2019"	"广电新媒体企业是否可以复制Netflix和爱优腾的自制剧模式"
"天水华天科技股份有限公司"	"03134173"	"QKC20192019111900028409"	"2019"	"计算机集成制造系统(CIM)在半导体封装中的应用浅析"
"青海盐湖工业股份有限公司"	"01000792"	"QKC20192019111900030503"	"2019"	"化工安全生产与环境保护管理措施研究"
"天水华天科技股份有限公司"	"03134173"	"QKC20192019111900033003"	"2019"	"MES在IC封装中的应用初探"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019111900088153"	"2019"	"大华股份与特斯联签署战略合作协议"
"广东鸿图科技股份有限公司"	"03132319"	"QKC20192019111900089647"	"2019"	"铝压铸链条盖全工序精准追溯工艺开发及应用"
"广东三雄极光照明股份有限公司"	"T000271198"	"QKC20192019111900104103"	"2019"	"三雄极光亮相上海教育展 智慧校园系统赋能教育领域"
"重庆智飞生物制品股份有限公司"	"T000028401"	"QKC20192019112600003378"	"2019"	"重庆智飞生物制品股份有限公司"
"中国广核电力股份有限公司"	"T000153248"	"QKC20192019112600009822"	"2019"	"人工智能时代下财务管理的思考"
"山东新华医疗器械股份有限公司"	"03130186"	"QKC20192019112600012190"	"2019"	"社会资本举办医疗机构性质的选择-税收筹划角度分析"
"中国科技出版传媒股份有限公司"	"T000062927"	"QKC20192019112600014539"	"2019"	"从""专业编辑""到""产品经理""-科技图书编辑转型浅析"
"新天科技股份有限公司"	"T000048610"	"QKC20192019112600023265"	"2019"	"基于物联网监测的供水管网分区建模技术研究"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019112600043867"	"2019"	"5G+无线接入网络部署问题及技术分析"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019112600051046"	"2019"	"5G时代综合布线机遇及挑战"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019112600055459"	"2019"	"5G技术促进区块链在物联网中应用的探讨"
"中国交通建设股份有限公司"	"03138697"	"QKC20192019112600067295"	"2019"	"大数据技术在智能交通中的应用分析"
"深圳市天威视讯股份有限公司"	"03134722"	"QKC20192019112600068268"	"2019"	"有线电视运营商参与智慧校园建设-论中小学、幼儿园三位一体智慧防控体系"
"福建龙马环卫装备股份有限公司"	"T000053682"	"QKC20192019120300001221"	"2019"	"大数据环境下提升内部审计质量的有效策略"
"杭州安恒信息技术股份有限公司"	"T001301651"	"QKC20192019120300008454"	"2019"	"基于大数据的工控态势感知监测预警系统"
"蓝盾信息安全技术股份有限公司"	"T000056124"	"QKC20192019120300012188"	"2019"	"基于大数据的网络安全态势感知解决方案"
"杭州安恒信息技术股份有限公司"	"T001301651"	"QKC20192019120300012713"	"2019"	"网络安全态势感知通报预警与防御解决方案"
"中国民生银行股份有限公司"	"03129930"	"QKC20192019120300015190"	"2019"	"金融科技助力构建智能网络安全防护"
"中远海运发展股份有限公司"	"03133744"	"QKC20192019120300023781"	"2019"	"智能信息化对财务共享服务机构的影响研究"
"中设设计集团股份有限公司"	"T000058810"	"QKC20192019120300025562"	"2019"	"城市智能停车系统分析与设计研究"
"南京万德斯环保科技股份有限公司"	"T002887301"	"QKC20192019120300033759"	"2019"	"智能化污水处理研究及发展应用"
"青岛啤酒股份有限公司"	"02600600"	"QKC20192019120300051873"	"2019"	"浅析大数据环境下企业财务管理信息系统应用"
"长春燃气股份有限公司"	"02600333"	"QKC20192019120300053532"	"2019"	"基于燃气安全风险的大数据预警模型分析"
"北京四方继保自动化股份有限公司"	"T000026714"	"QKC20192019120300056765"	"2019"	"一键顺控智能化拟票技术研究与应用"
"深圳迈瑞生物医疗电子股份有限公司"	"T000138376"	"QKC20192019120300071574"	"2019"	"探讨财务会计向管理会计转型的趋势"
"广联达科技股份有限公司"	"T000026577"	"QKC20192019120300074970"	"2019"	"BIM与电子招投标协同应用现状及趋势"
"宁波柯力传感科技股份有限公司"	"T003004992"	"QKC20192019121000011670"	"2019"	"物联网称重传感器生命周期及故障预警研究"
"江苏宁沪高速公路股份有限公司"	"03129955"	"QKC20192019121000017321"	"2019"	"智能交通中大数据技术的应用"
"南京康尼机电股份有限公司"	"T000058636"	"QKC20192019121000018631"	"2019"	"看不够的海景"
"西部矿业股份有限公司"	"03133789"	"QKC20192019121000039996"	"2019"	"大数据背景下企业财务管理问题及解决对策"
"厦门市美亚柏科信息股份有限公司"	"T000034684"	"QKC20192019121700007435"	"2019"	"大数据在智能城市建设中的运用"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019121700008745"	"2019"	"5G技术与智慧生活物联网的结合方式"
"宜宾五粮液股份有限公司"	"01000858"	"QKC20192019121700010458"	"2019"	"浅谈制造业企业成本管控"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019121700012135"	"2019"	"物联网发展中的5G通信技术应用"
"上海贝岭股份有限公司"	"02600171"	"QKC20192019121700022199"	"2019"	"BL6523GX-Y芯片简介"
"中航航空高科技股份有限公司"	"02600862"	"QKC20192019121700025208"	"2019"	"机械设计与加工中的CAD-CAM技术分析"
"成都秦川物联网科技股份有限公司"	"Q001649BF8"	"QKC20192019121700035948"	"2019"	"电子温压修正膜式燃气表技术分析"
"安徽合力股份有限公司"	"02600761"	"QKC20192019121700038197"	"2019"	"智能制造技术在箱体制造中的应用"
"贵州航天电器股份有限公司"	"03130800"	"QKC20192019121700040246"	"2019"	"基于订单驱动的智能制造技术研究"
"昆明云内动力股份有限公司"	"01000903"	"QKC20192019121700055276"	"2019"	"大数据时代财务管理的创新探究"
"佳都新太科技股份有限公司"	"02600728"	"QKC20192019121700062027"	"2019"	"AI、大数据时代智能安防在智慧城市建设中的发展与应用趋势"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019121700062090"	"2019"	"人工智能时代智慧安防在智慧城市中的发展与应用解析"
"鹏鹞环保股份有限公司"	"T000125188"	"QKC20192019121700064931"	"2019"	"环境保护验收监测中相关问题与措施探讨"
"高新兴科技集团股份有限公司"	"T000026751"	"QKC20192019121700073381"	"2019"	"浅谈无线物联网技术在警务工作中的应用"
"高新兴科技集团股份有限公司"	"T000026751"	"QKC20192019121700073415"	"2019"	"物联网与AR技术在高速服务区的具体应用"
"山东太阳纸业股份有限公司"	"03132159"	"QKC20192019122600019252"	"2019"	"白泥在文化纸机及其产品的推广应用"
"厦门市美亚柏科信息股份有限公司"	"T000034684"	"QKC20192019122600029485"	"2019"	"数字城市与物联网的集成研究"
"维尔利环保科技集团股份有限公司"	"T000034713"	"QKC20192019122600038737"	"2019"	"垃圾渗滤液膜滤浓缩液处理技术的研究进展"
"北京久其软件股份有限公司"	"03132059"	"QKC20192019122600050571"	"2019"	"久其金建 建筑企业数字化专家!"
"航天信息股份有限公司"	"03130421"	"QKC20192019122600067057"	"2019"	"从数字到数据:征信系统数据化转型研究"
"内蒙古北方重型汽车股份有限公司"	"02600262"	"QKC20192019122600071393"	"2019"	"浅析我国智能制造的发展态势"
"中国电影股份有限公司"	"T000058392"	"QKC20192019122600077739"	"2019"	"人工智能引发电影创作生产变革新浪潮"
"中信重工机械股份有限公司"	"T000058719"	"QKC20192019123100011435"	"2019"	"面向服务的矿物流程生产大数据应用研究"
"国电南京自动化股份有限公司"	"02600268"	"QKC20192019123100012362"	"2019"	"基于物联网的变电设备故障诊断研究"
"新天科技股份有限公司"	"T000048610"	"QKC20192019123100015723"	"2019"	"NB-IoT物联网水表设计与应用"
"深圳市金溢科技股份有限公司"	"T000239678"	"QKC20192019123100029134"	"2019"	"基于5.8G路径识别系统的路网信息采集与应用"
"浙江双箭橡胶股份有限公司"	"T000026800"	"QKC20192019123100030813"	"2019"	"石墨烯-橡胶复合材料在输送带胶料中的应用"
"武汉海特生物制药股份有限公司"	"00216154"	"QKC20192019123100030899"	"2019"	"浅谈企业财务管理信息化建设"
"上海良信电器股份有限公司"	"T000034656"	"QKC20192019123100031980"	"2019"	"良信智能配电管理系统Nader-IPMS"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019123100034369"	"2019"	"大华股份与杭州公安钱塘新区分局签署战略合作协议"
"江西铜业股份有限公司"	"03130080"	"QKC20192019123100039006"	"2019"	"大数据背景下财务会计与管理会计融合研究"
"中钨高新材料股份有限公司"	"01000657"	"QKC20192019123100040331"	"2019"	"潮平两岸阔 风正一帆悬-写在中钨高新重整三周年之际"
"美康生物科技股份有限公司"	"T000060594"	"QKC20192020010600011004"	"2019"	"基于财务角度分析医疗器械企业风险规避措施"
"东方电子股份有限公司"	"01000682"	"QKC20192020010600038346"	"2019"	"云计算模式下大数据处理技术研究"
"中兴通讯股份有限公司"	"01000063"	"QKC20192020010600043941"	"2019"	"大数据智能运维运营系统在运营商的设计与应用"
"中设设计集团股份有限公司"	"T000058810"	"QKC20192020011400022409"	"2019"	"大数据及其在城市智能交通系统中的应用"
"光明乳业股份有限公司"	"03130167"	"QKC20192020011400022568"	"2019"	"物联网环境下的乳制品供应链质量安全风险管理研究"
"山东新华医疗器械股份有限公司"	"03130186"	"QKC20192020011400028310"	"2019"	"新个税改革下企业个税筹划研究"
"广东永顺生物制药股份有限公司"	"T000677442"	"QKC20192020011400030252"	"2019"	"利用CRISPR-Cas9技术构建PRVGD株gI和gE缺失毒株及其生物学特性研究"
"航天科技控股集团股份有限公司"	"01000901"	"QKC20192020011400033327"	"2019"	"窄带物联网(LORA)在电动车监控的应用分析"
"北京热景生物技术股份有限公司"	"T004911161"	"QKC20192020011400035179"	"2019"	"生物医用体外诊断试剂国内发展现状"
"安泰科技股份有限公司"	"00049397"	"QKC20192020011400035918"	"2019"	"口腔数字化诊疗技术及材料的发展现状与趋势"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192020011400039930"	"2019"	"关于5G无线网络中D2D通信的路由算法"
"中设设计集团股份有限公司"	"T000058810"	"QKC20192020011400054025"	"2019"	"浅析大数据视角下人力资源管理创新研究"
"岳阳林纸股份有限公司"	"03130723"	"QKC20192020021300019135"	"2019"	"国家严格的环保政策对中国纸业的影响"
"北京飞利信科技股份有限公司"	"T000055760"	"QKC20192020021300021599"	"2019"	"大数据计算技术在电子政务领域的应用"
"厦门盈趣科技股份有限公司"	"T000145840"	"QKC20192020021300026643"	"2019"	"物联网技术用于智能家居中的应用和开发探讨"
"太极计算机股份有限公司"	"T000026778"	"QKC20192020021300029211"	"2019"	"技术助力媒体国际传播能力建设-国际传播是媒体融合发展的方向之一"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192020021300031037"	"2019"	"安防大数据在智慧城市建设中的深度应用与地位"
"中持水务股份有限公司"	"T000226019"	"QKC20192020021300046624"	"2019"	"基于物联网的分布式污水厂智能化集中监控的探索"
"安徽蓝盾光电子股份有限公司"	"03141846"	"QKC20192020021300058970"	"2019"	"一种8mm交通雷达前端设计"
"北京久其软件股份有限公司"	"03132059"	"QKC20192020021300095979"	"2019"	"数字经济时代的乡村振兴战略与实践"
"成都秦川物联网科技股份有限公司"	"Q001649BF8"	"QKC20192020021300097571"	"2019"	"民用燃气表技术及管理的发展"
"康佳集团股份有限公司"	"01000016"	"QKC20192020021300100790"	"2019"	"大数据时代下管理会计与企业核心竞争力的探究"
"百合花集团股份有限公司"	"T000174008"	"QKC20192020021300104386"	"2019"	"新时期关于化工生产企业财务管理优化路径"
"国电南瑞科技股份有限公司"	"03130492"	"QKC20192020021300118325"	"2019"	"基于大数据平台的企业人力资源管理变革探讨"
"清源科技(厦门)股份有限公司"	"T000070224"	"QKC20192020021300126884"	"2019"	"ERP信息化系统在制造企业财务管理中的应用"
"广州广电运通金融电子股份有限公司"	"03133864"	"QKC20192020021300151514"	"2019"	"一种基于生物识别技术应用的便旅乘机方案"
